galaxy,R_kpc,Vobs_kms,e_Vobs_kms,Vbar2_kms2,delta_g_obs,sigma_delta_g,nfw_full_delta_g,nfw_outer_delta_g,iso_full_delta_g,log_full_delta_g,gap_nfw_full,gap_nfw_outer,gap_density_proxy_nfw_outer,is_inner,is_outer
DDO168,2.47,52.1,1.2,657.12735,832.9079554655871,74.71259900450107,548.9588611485578,843.1566499976306,628.6205308674697,548.9645175898072,283.9490943170292,-10.248694532043487,3127208.65883201,False,True
DDO168,2.89,52.9,1.7,671.0325499999999,736.1167647058824,78.84974692437025,548.9281278629977,744.8481280905065,655.4355872138633,548.9414677414746,187.18863684288465,-8.73136338462416,1497857.3270770013,False,True
DDO168,3.3,54.8,2.2,664.85565,708.540712121212,86.07579758364275,548.8981291227642,665.8252428313652,666.6047201307111,548.9189685660251,159.64258299844778,42.71546928984674,488769.3990185565,False,True
DDO168,3.71,55.0,2.5,664.3403999999999,636.2963881401618,84.59557568439799,548.8681331488477,599.6851106200023,666.8668635555308,548.8964712348238,87.42825499131402,36.61127752015943,362143.9340318079,False,True
DDO168,4.12,52.0,2.7,651.09605,498.2776577669903,75.64396614719692,548.8381399411574,543.6660887746054,659.4226661226005,548.8739757476437,-50.56048217416708,-45.38843100761517,278578.43891716213,False,True
DDO170,1.87,27.7,3.0,240.78045000000003,281.5559090909091,91.21413881555483,467.53964391147184,508.3144828643216,328.1481115648466,470.8087434034948,-185.98373482056274,-226.75857377341248,-952426.465898256,True,False
DDO170,3.36,42.4,1.5,422.13615000000004,409.4118601190476,46.355724047062814,420.1434265029562,446.19070396507124,413.29315559829826,419.2203907327737,-10.731566383908557,-36.77884384602362,-6029.466665268834,True,False
DDO170,4.86,52.5,1.0,622.7499,438.9917901234568,35.6491710945635,380.0410514354755,395.50657086469573,405.7929427938882,377.5708178673279,58.9507386879813,43.48521925876105,6955.577175079234,True,False
DDO170,6.35,55.6,1.0,789.39655,362.5139291338583,29.986132171579673,346.16616839656575,354.01048414894257,369.45362310702654,343.6561702649872,16.34776073729256,8.503444984915745,-39263.17732056687,False,True
DDO170,7.85,58.6,1.1,900.7956500000001,322.6960955414013,27.351647386865885,316.86684376677766,319.0797216634271,329.37878080768485,315.1576848066848,5.8292517746236285,3.6163738779741834,-587.2979891953739,False,True
DDO170,9.34,59.0,1.2,913.3140500000001,274.9128426124197,24.022976773417106,291.63694554463143,289.7081962962296,293.49333664446664,291.1725035801871,-16.724102932211736,-14.795353683809878,-11353.006764450005,False,True
DDO170,10.83,60.0,1.3,845.4341499999999,254.34587719298244,21.993831846292753,269.5807080869789,264.56498721578373,262.86652452546514,270.5799275126707,-15.234830893996474,-10.219110022801289,-32238.82120149067,False,True
DDO170,12.33,62.2,1.0,732.6600499999998,254.35360502838606,18.652838120812543,250.0400947021314,242.70439944139895,236.94293991953558,252.59572033276442,4.313510326254658,11.649205586987108,-24248.665593227623,False,True
ESO079-G014,0.41,33.2,11.6,423.93534999999997,1654.4015853658543,1883.436980909872,1499.8890178950744,2940.4167544172633,175.33344555191442,1499.5991894912593,154.5125674707799,-1286.015169051409,-214069320.3438155,True,False
ESO079-G014,0.98,50.4,11.8,1152.3281000000002,1416.1549999999997,1220.6139960474559,1499.775037917949,2836.914434926761,414.18282007963256,1499.4995278896492,-83.62003791794928,-1420.759434926761,-59790063.82503863,True,False
ESO079-G014,1.78,53.9,9.75,1973.1465500000002,523.6311516853932,596.0901083694267,1499.6150906627322,2701.646877176224,728.5201411603944,1499.3596742984748,-975.983938977339,-2178.015725490831,-21727309.809827987,True,False
ESO079-G014,2.69,67.6,5.1,2921.7177,612.6551301115238,270.03401110113157,1499.4331856583779,2560.494432160028,1040.4018657433628,1499.2006225496918,-886.778055546854,-1947.8393020485041,-11113208.689436512,True,False
ESO079-G014,3.36,81.7,5.06,3463.514449999999,955.7665327380956,265.36376638322804,1499.2992793976236,2464.301115079992,1231.9998741313618,1499.083540081701,-543.532746659528,-1508.5345823418966,-4572079.984309689,True,False
ESO079-G014,4.39,102.0,5.35,3859.50255,1490.7739066059225,275.4062638485716,1499.093462857091,2327.783947759504,1460.22450879038,1498.9035832931297,-8.319556251168478,-837.0100411535814,1022584.8893225723,True,False
ESO079-G014,5.65,116.0,6.44,4343.43645,1612.8431061946899,290.01364460030214,1498.8417521100896,2177.2481455037378,1638.2901323732162,1498.6835007249736,114.00135408460028,-564.4050393090479,3145552.453875642,True,False
ESO079-G014,6.34,132.0,9.1,4730.70645,2002.0967744479497,403.0737022898595,1498.7039407298591,2101.5802599601716,1696.0975062068403,1498.563006703132,503.3928337180905,-99.48348551222193,3041410.330358889,True,False
ESO079-G014,6.89,137.0,5.25,5194.03735,1970.2413134978233,249.281256940924,1498.5941063940093,2044.3610647456628,1725.7699720350374,1498.466974620177,471.647207103814,-74.11975124783953,1925995.2434287153,True,False
ESO079-G014,8.34,154.0,4.2,6773.23095,2031.5070803357314,210.41449163783554,1498.3046082421413,1905.3606507273678,1750.4141451794287,1498.2138581158365,533.2024720935901,126.14642960836363,411968.55181348964,True,False
ESO079-G014,10.04,163.0,3.28,8871.5121,1762.6979980079682,169.85325601328998,1497.9653167761956,1761.440069079049,1714.1512191127515,1497.9172097106512,264.73268123177263,1.2579289289192275,96777.6438944489,False,True
ESO079-G014,11.65,170.0,2.41,9844.67655,1635.6500815450643,142.58855220537922,1497.6441073202773,1641.0863002249916,1645.9076858539656,1497.6363745101544,138.005974224787,-5.436218679927379,-38306.61195074505,False,True
ESO079-G014,13.36,175.0,2.18,10153.610050000001,1532.2896669161676,128.05518118697685,1497.3030742239507,1527.5430924836373,1558.2819948369097,1497.3382114247067,34.986592692216846,4.746574432530224,-54991.9943229952,False,True
ESO079-G014,15.06,177.0,2.23,9811.34645,1428.7950564409032,116.47566941711739,1496.964165346926,1427.0365243236495,1467.4244669640814,1497.0419096423984,-68.16910890602276,1.7585321172537078,9519.752380781485,False,True
ESO079-G014,16.67,178.0,2.03,9355.986550000001,1339.4129244151168,104.45418600239796,1496.6433180325,1341.5692976054254,1383.5041669607756,1496.7614025244309,-157.23039361738324,-2.1563731903086136,18450.16874887169,False,True
ESO116-G012,0.25,20.9,3.4,150.11604999999997,1146.7758,575.1535703131816,1632.703236256901,2619.597533656567,237.95170772786014,1627.8612334543975,-485.92743625690105,-1472.8217336565672,86235434.61771145,True,False
ESO116-G012,0.83,40.0,3.29,607.8608,1195.3484337349398,331.4331478367486,1595.248726906336,2433.833250602124,751.3316819479479,1589.5649037980722,-399.90029317139624,-1238.484816867184,-6530619.073297166,True,False
ESO116-G012,1.38,51.5,2.96,1315.4953000000003,968.6628260869564,240.92202113314997,1561.0502634526704,2277.265691873742,1140.845626124675,1554.8775897588212,-592.3874373657139,-1308.6028657867855,-11145356.882081972,True,False
ESO116-G012,1.85,67.9,3.45,1930.39655,1448.6559189189193,282.2436048043576,1532.793308968477,2156.412070462037,1379.903142440795,1526.4133408572861,-84.13739004955778,-707.7561515431175,-6698428.019737723,True,False
ESO116-G012,2.68,80.2,2.93,1986.7716500000001,1658.6822201492537,212.49059025069323,1484.948663365238,1967.5934157218305,1609.3831766512744,1478.612223248426,173.73355678401572,-308.91119557257684,2947740.1040421836,True,False
ESO116-G012,3.19,83.3,3.08,2273.4468500000003,1462.5213636363635,194.1729407283128,1456.7824708353278,1864.874711026488,1658.3014061884767,1450.6974043082282,5.738892801035718,-402.35334739012455,3342139.5790275587,True,False
ESO116-G012,3.68,91.4,2.83,2529.2459000000003,1582.8027445652176,180.68011007133546,1430.5571173542817,1774.3582144394502,1661.9702395620732,1424.852417738634,152.24562721093594,-191.55546987423259,3104454.9852846516,False,True
ESO116-G012,4.13,102.0,5.4,2696.9073,1866.1241404358354,294.97554221029935,1407.1642712583273,1697.511311232463,1640.4404416009816,1401.9153601630576,458.95986917750815,168.61282920337248,2548709.4939200776,False,True
