galaxy,fit_status,n_points,Q,Inc_deg,Rdisk_kpc,Vflat_kms,Rmax_kpc,radial_break_kpc,n_inner,n_outer,quality_primary,upsilon_disk,upsilon_bulge,nfw_full_success,nfw_full_params,nfw_full_weighted_mse,nfw_full_relative_rmse,nfw_full_mean_abs_fractional_error,nfw_outer_success,nfw_outer_params,nfw_outer_fit_weighted_mse,nfw_outer_full_weighted_mse,nfw_outer_relative_rmse,nfw_outer_mean_abs_fractional_error,iso_full_success,iso_full_params,iso_full_weighted_mse,iso_full_relative_rmse,iso_full_mean_abs_fractional_error,log_full_success,log_full_params,log_full_weighted_mse,log_full_relative_rmse,log_full_mean_abs_fractional_error,iso_beats_nfw_full,log_beats_nfw_full,inner_gap_mean_norm_after_outer_nfw,inner_gap_negative_fraction_after_outer_nfw,central_overshoot_after_outer_nfw,inner_gap_density_mean,inner_gap_density_negative_fraction,nfw_full_outer_slope_mean,nfw_outer_outer_slope_mean,target_outer_slope_mean,nfw_full_shallow_outer,skip_reason
NGC3949,ok,7,2.0,55.0,3.59,163.0,7.07,5.414,5.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 284720997979.9373, ""nfw_r_s_kpc"": 9999.999997458024}",0.3090390525312174,0.2639243028858331,0.25477798774709065,True,"{""nfw_outer_amp"": 326028054144.3095, ""nfw_outer_r_s_kpc"": 9999.999996416049}",0.14057771169575511,0.39916944541557126,0.278897775429615,0.3121695633688561,True,"{""iso_v0_kms"": 222.33973280884692, ""iso_r_c_kpc"": 11.426018266832077}",0.22857848807322065,0.23500320576925823,0.23896887144084594,True,"{""log_amp"": 14234114.638084812, ""log_r0_kpc"": 9999.999999039319}",0.3089636895419391,0.2638835496454874,0.25474679210354406,True,True,-0.2617669013874549,0.8,True,4389139.9064276945,0.0,-0.0007602566129554233,-0.0007602566138018574,0.9238590484781506,True,
NGC3953,ok,8,1.0,62.0,4.89,220.8,15.68,10.758000000000001,5.0,4.0,True,0.5,0.7,True,"{""nfw_amp"": 726485.8084680807, ""nfw_r_s_kpc"": 7.47975974776018}",0.1155640372871845,0.0851713405802888,0.056249681863286466,True,"{""nfw_outer_amp"": 1344600.975094502, ""nfw_outer_r_s_kpc"": 12.772683819956004}",0.022695639410299062,0.4563938084353373,0.1586294904788258,0.09648156791819869,True,"{""iso_v0_kms"": 147.94179394344556, ""iso_r_c_kpc"": 2.937388817109079}",0.08248935512815697,0.061243239693536226,0.046752822607036504,True,"{""log_amp"": 26030.560396645393, ""log_r0_kpc"": 3.1205985006781214}",0.148291532614759,0.09901264052312515,0.06590808647638799,True,False,0.14507500850045502,0.0,False,-886337.2909070393,1.0,-0.9154757959368167,-0.7107157105881718,-1.041591144950627,False,
NGC3972,ok,10,1.0,77.0,2.18,132.7,8.72,4.796000000000001,5.0,5.0,True,0.5,0.7,True,"{""nfw_amp"": 100162593.93718188, ""nfw_r_s_kpc"": 175.19896624724657}",0.9841958399010295,0.2598526067324092,0.3300187301323573,True,"{""nfw_outer_amp"": 201556470.9653195, ""nfw_outer_r_s_kpc"": 253.48271712541222}",0.05094480020527513,1.008663920398867,0.2602740003918839,0.32694207863598046,True,"{""iso_v0_kms"": 116.126437932099, ""iso_r_c_kpc"": 3.5849492545962165}",0.46781798094719146,0.1452090959564149,0.17034105280822948,True,"{""log_amp"": 216707.6553963042, ""log_r0_kpc"": 132.93503576733735}",0.9844295899764381,0.25980605955091485,0.3299022590571733,True,False,0.04884940958455376,0.2,False,1503274.3800160466,0.4,-0.05126318706895816,-0.03583225259266243,-0.30707575171361795,True,
NGC3992,ok,9,1.0,56.0,4.96,241.0,46.02,22.022000000000002,3.0,6.0,True,0.5,0.7,True,"{""nfw_amp"": 2325351.963596778, ""nfw_r_s_kpc"": 11.464215853823976}",0.1843035748837307,0.0405930176452062,0.03785214119188715,True,"{""nfw_outer_amp"": 2451073.116860021, ""nfw_outer_r_s_kpc"": 12.143402899101392}",0.23618262570317497,0.19418226617210038,0.0494786780310734,0.04009060620969699,True,"{""iso_v0_kms"": 208.08237995291498, ""iso_r_c_kpc"": 3.489604572908577}",0.18562352128869006,0.03672427498236202,0.03560884326078221,True,"{""log_amp"": 44635.50084409865, ""log_r0_kpc"": 1.4386100296086757}",0.20483403200120545,0.04082241856000282,0.03992349387356117,False,False,0.022669253815890158,0.3333333333333333,False,-69643.4879411095,0.6666666666666666,-1.1043632449238732,-1.0846578482956672,-1.043998175965049,False,
NGC4010,ok,12,2.0,89.0,2.81,125.8,10.47,6.182,7.0,5.0,True,0.5,0.7,True,"{""nfw_amp"": 207220162978.94925, ""nfw_r_s_kpc"": 9999.99999999999}",1.555984384824799,0.3366517869854396,0.49902731828113445,True,"{""nfw_outer_amp"": 107443.62599016953, ""nfw_outer_r_s_kpc"": 2.1440333313479987}",0.011367306316150098,42.95999840655724,2.552001986307599,2.9996164199018964,True,"{""iso_v0_kms"": 126.88101213539353, ""iso_r_c_kpc"": 7.128244479897086}",0.8983564592793098,0.31893287955127636,0.3314278299801869,True,"{""log_amp"": 10358368.391675442, ""log_r0_kpc"": 9999.99999999999}",1.5557019939339976,0.33659180025300706,0.498946813893476,True,True,-3.2153041500139143,1.0,True,-1320770.333621374,0.42857142857142855,-0.001163218328775173,-1.2102047364426327,-0.9143090836178203,True,
NGC4013,ok,36,2.0,89.0,3.53,172.9,31.01,14.3725,13.0,23.0,True,0.5,0.7,True,"{""nfw_amp"": 7978069.508999733, ""nfw_r_s_kpc"": 52.0025770682657}",0.5854960238934274,0.21902355217199002,0.10987613331158146,True,"{""nfw_outer_amp"": 153164550.93046716, ""nfw_outer_r_s_kpc"": 280.9107207650488}",0.22412581924035227,0.9878720676474126,0.32105487934616767,0.14888162663465151,True,"{""iso_v0_kms"": 158.34533033748752, ""iso_r_c_kpc"": 10.594980003218263}",0.9689246476007563,0.28061335962741213,0.13512893119737565,True,"{""log_amp"": 48745.03181264198, ""log_r0_kpc"": 31.38453589522606}",0.5698297255753024,0.21214193770575,0.1063735483551269,False,True,0.3379201588819053,0.0,False,-13760.665725580238,0.46153846153846156,-0.4175939385180892,-0.10124543778373832,-0.49195329309906094,True,
NGC4051,ok,7,2.0,49.0,4.65,157.0,12.19,9.07,5.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 252831.0098000116, ""nfw_r_s_kpc"": 7.274437959509784}",0.4490367241974913,0.671734456676322,1.264687850827719,True,"{""nfw_outer_amp"": 28322.754066455804, ""nfw_outer_r_s_kpc"": 0.3969413060383257}",0.18345673726233536,4.270480020227032,3.238297785617771,5.842443035927787,True,"{""iso_v0_kms"": 89.38938274418288, ""iso_r_c_kpc"": 2.937062070289628}",0.37097915967049616,0.4508812392484402,0.8441120453053795,True,"{""log_amp"": 10232.125735482112, ""log_r0_kpc"": 3.9719070472126496}",0.47868644273943345,0.6742684101373387,1.2676879098227258,True,False,-1.9245253882263593,0.8,True,2624458.6098510833,0.0,-0.8040232618240317,-1.5882916295620353,-0.6463893865166517,False,
NGC4068,ok,6,2.0,44.0,0.59,0.0,2.33,1.298,3.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 56829164434.69057, ""nfw_r_s_kpc"": 9999.99999993876}",1.7026320908584662,0.632348253567445,5.2625187902665145,True,"{""nfw_outer_amp"": 66928258905.96265, ""nfw_outer_r_s_kpc"": 9999.999920053471}",0.5892757946649139,1.9426036780311033,0.6990726977228744,6.1457489623362855,True,"{""iso_v0_kms"": 9999.99999999999, ""iso_r_c_kpc"": 703.9174320200182}",0.15090584763243495,0.17145956911441915,1.32958168205791,True,"{""log_amp"": 2841344.222687774, ""log_r0_kpc"": 9999.999835203229}",1.7025055949122523,0.6323268282577036,5.262367610303037,True,True,-2.2010809407662815,1.0,True,8198967.858601145,0.0,-0.00022714633170295428,-0.00022714633817511043,1.4630204314497488,True,
NGC4085,ok,7,2.0,82.0,1.65,131.5,6.2,3.63,4.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 153431820717.1024, ""nfw_r_s_kpc"": 9999.99999999999}",6.767389958905752,1.0634434420511438,0.6129794647132476,True,"{""nfw_outer_amp"": 230655899570.2151, ""nfw_outer_r_s_kpc"": 9999.999999992815}",0.17802758777753155,7.683916411196008,1.1725617229356924,0.6028332390053663,True,"{""iso_v0_kms"": 9999.999999987414, ""iso_r_c_kpc"": 688.7636374432955}",4.424218165612978,0.8875523354271375,0.45079222203180075,True,"{""log_amp"": 7670860.000566627, ""log_r0_kpc"": 9999.99999999999}",6.767012164300582,1.0634251394803091,0.6129490067564415,True,True,-0.9222819693967854,0.75,True,9676737.931382382,0.0,-0.0006527566062750623,-0.0006527566053780021,0.5289716787269905,True,
NGC4088,ok,12,1.0,69.0,2.58,171.7,21.48,8.459,4.0,8.0,True,0.5,0.7,True,"{""nfw_amp"": 100169276042.26501, ""nfw_r_s_kpc"": 9999.999999999476}",1.6723645830503033,1.10386167399003,0.7708463533715669,True,"{""nfw_outer_amp"": 109149064123.57819, ""nfw_outer_r_s_kpc"": 9999.99999999999}",0.8125498442571772,1.715937054572392,1.140558560880585,0.8171829062516777,True,"{""iso_v0_kms"": 9999.999999999334, ""iso_r_c_kpc"": 1755.9159185565682}",0.6722018713611687,0.8301585292137292,0.48733695861937515,True,"{""log_amp"": 5006090.196826346, ""log_r0_kpc"": 9999.99999999999}",1.6716387716900696,1.1037203807076894,0.7707126065659781,True,True,-1.2096855223558902,0.75,True,-5254793.221666027,1.0,-0.0019868784033976183,-0.0019868784035721454,9.56821868248124,True,
NGC4100,ok,24,1.0,73.0,2.15,158.2,22.76,9.6435,9.0,15.0,True,0.5,0.7,True,"{""nfw_amp"": 679407.6892564056, ""nfw_r_s_kpc"": 7.22733350845644}",0.542419353961754,0.1993353366090273,0.103866464904897,True,"{""nfw_outer_amp"": 303424.1209378205, ""nfw_outer_r_s_kpc"": 2.715737554637358}",0.18381353671995776,3.9035950830351176,0.7127085793841201,0.26629048862862753,True,"{""iso_v0_kms"": 144.9994331086097, ""iso_r_c_kpc"": 2.901221917941271}",0.5680416488093222,0.14111428276720103,0.1001498749964173,True,"{""log_amp"": 23558.82072842144, ""log_r0_kpc"": 2.548789751292344}",0.8210145596837902,0.22910247493311214,0.12248934520892081,False,False,-0.6315117113407854,1.0,True,-484289.98095058237,0.6666666666666666,-1.0099675146982832,-1.31958650078867,-1.1423405451747968,False,
NGC4138,ok,7,2.0,53.0,1.51,147.3,18.58,8.129999999999999,3.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 324972.9087905673, ""nfw_r_s_kpc"": 4.589498829032544}",0.6153424048667244,0.6997745279465464,0.5370918722623946,True,"{""nfw_outer_amp"": 1122505.9266331047, ""nfw_outer_r_s_kpc"": 15.354971851437563}",0.092199242803158,1.568771396552235,0.4576304350595361,0.3110590781759685,True,"{""iso_v0_kms"": 126.67878988721353, ""iso_r_c_kpc"": 2.317289129422775}",0.6088703282953765,0.5525734109989456,0.44489905796022317,True,"{""log_amp"": 17066.436472615067, ""log_r0_kpc"": 1.4916914513836237}",0.7568885289892583,0.7048275614682842,0.5500891179834161,True,False,0.23440419031572302,0.3333333333333333,False,-1394219.058267491,1.0,-1.12813534866073,-0.6822260408425764,-0.7502060697683337,False,
NGC4157,ok,17,1.0,82.0,2.32,184.7,29.61,11.501999999999999,6.0,11.0,True,0.5,0.7,True,"{""nfw_amp"": 868253155.4380245, ""nfw_r_s_kpc"": 681.3585764811593}",0.348545648349675,0.6980256924503887,0.4180669176954243,True,"{""nfw_outer_amp"": 82260840.42061836, ""nfw_outer_r_s_kpc"": 199.45156736077445}",0.020391592858783412,0.362912232838672,0.7235532542155861,0.4393229241006384,True,"{""iso_v0_kms"": 174.13446068693014, ""iso_r_c_kpc"": 15.701912332113768}",0.2793307863591085,0.5220194597182147,0.2957426070135837,True,"{""log_amp"": 480853.4476251122, ""log_r0_kpc"": 514.4870640796155}",0.3485890354711984,0.6979013498404997,0.418013106335563,True,False,-0.5402012970842085,0.6666666666666666,False,266500.96125991415,0.5,-0.03975308556168177,-0.12694228546097525,-0.10742721343142976,True,
NGC4183,ok,23,1.0,82.0,2.79,110.6,21.02,7.5889999999999995,8.0,15.0,True,0.5,0.7,True,"{""nfw_amp"": 357943.5927739376, ""nfw_r_s_kpc"": 8.582778205806408}",0.12898522905681806,0.11399240855677441,0.0646356422489513,True,"{""nfw_outer_amp"": 380030.7275545007, ""nfw_outer_r_s_kpc"": 9.10505966503629}",0.11515145453875328,0.13996979560390105,0.09869878436077692,0.06342586114722286,True,"{""iso_v0_kms"": 95.00177467816656, ""iso_r_c_kpc"": 2.6667928241334415}",0.11955838597017551,0.14976432317991925,0.06837112027049412,True,"{""log_amp"": 11357.135584385382, ""log_r0_kpc"": 3.940880410041534}",0.16783489763523968,0.16285633854040482,0.0738056999634612,True,False,0.0034251813470340254,0.375,False,962810.3652217198,0.125,-0.8822072725999225,-0.8599018602438581,-0.7592688140665875,False,
NGC4214,ok,14,2.0,15.0,0.51,80.1,5.63,2.1109999999999998,5.0,9.0,False,0.5,0.7,True,"{""nfw_amp"": 86568.84265703097, ""nfw_r_s_kpc"": 3.196304491633978}",0.42159862869311554,0.5860809101128729,0.10127996064020592,True,"{""nfw_outer_amp"": 80200.43703928313, ""nfw_outer_r_s_kpc"": 2.9623678536279727}",0.0009914872776032445,0.43781349095187777,0.5667504492788459,0.09968501670580623,True,"{""iso_v0_kms"": 75.61499914695433, ""iso_r_c_kpc"": 1.0075829054017582}",0.8161208651003701,0.7874639085077618,0.1504568280557057,True,"{""log_amp"": 7386.373399460323, ""log_r0_kpc"": 1.3934991675247212}",0.384842529721728,0.5350284699171872,0.10141311880631708,False,True,0.23251818094682628,0.6,False,-18661200.381719712,0.8,-0.7741635613767895,-0.8030127106709917,-0.7848460299374401,False,
NGC4217,ok,19,1.0,86.0,2.94,181.3,16.72,6.468,7.0,12.0,True,0.5,0.7,True,"{""nfw_amp"": 76282188215.70605, ""nfw_r_s_kpc"": 9999.999999997202}",52.69167611209531,1.0279271545699427,0.8533009951572206,True,"{""nfw_outer_amp"": 183491944695.0541, ""nfw_outer_r_s_kpc"": 9999.999817526845}",1.0099527688898635,55.614157833077904,1.0723415460488612,0.8428623733518978,True,"{""iso_v0_kms"": 9999.999999121386, ""iso_r_c_kpc"": 1279.8124552214}",48.120587695461985,1.0057944178020501,0.6691367311457412,True,"{""log_amp"": 3814268.5489335284, ""log_r0_kpc"": 9999.999999999725}",52.69035698888725,1.0279296664003374,0.8532520494880836,True,True,-0.9207755588842387,1.0,True,-30823133.014980815,0.5714285714285714,-0.0015726878459600968,-0.0015726878750932372,24.65246150416466,True,
NGC4389,ok,6,3.0,50.0,2.79,0.0,5.32,4.015000000000001,4.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 0.16195847990744308, ""nfw_r_s_kpc"": 1301.010169011971}",26.061445148625737,1.000000000019258,1.0000000000075,True,"{""nfw_outer_amp"": 0.06272149985606787, ""nfw_outer_r_s_kpc"": 1701.8715178540972}",8.434750194591336,26.061445147808314,1.0000000000043603,1.0000000000016962,True,"{""iso_v0_kms"": 0.7139175863374081, ""iso_r_c_kpc"": 2892.090276639632}",26.061445150275915,1.0000000000450675,0.9999999999730892,True,"{""log_amp"": 0.0007551513328078601, ""log_r0_kpc"": 1570.6067041257045}",26.06144515819661,1.000000000193675,1.000000000075291,False,False,-0.9101144647559711,1.0,True,378258.23093876103,0.25,-0.004118671523288597,-0.0031507782581261523,93.6492400100628,True,
NGC4559,ok,32,1.0,67.0,2.1,121.2,20.97,7.768,11.0,21.0,True,0.5,0.7,True,"{""nfw_amp"": 1573043.7096778492, ""nfw_r_s_kpc"": 25.784802504686386}",0.2652479984483046,0.25000271772708477,0.1977532881300658,True,"{""nfw_outer_amp"": 846240.5387726926, ""nfw_outer_r_s_kpc"": 16.560845301574908}",0.1936449154670965,0.4285542171134753,0.3891989661125562,0.2946314776529436,True,"{""iso_v0_kms"": 106.96231880648959, ""iso_r_c_kpc"": 6.544050746882558}",0.20716987015046634,0.2111699179848194,0.11911856621707838,True,"{""log_amp"": 19894.66233511502, ""log_r0_kpc"": 16.39549782047562}",0.2924185416244545,0.25667503711482426,0.2033453306625929,True,False,-0.4685041344317726,1.0,True,-1387082.662032359,0.8181818181818182,-0.4874239492198716,-0.640806612272528,-0.7063940703177497,True,
NGC5005,ok,18,1.0,68.0,9.45,262.2,11.47,7.288999999999999,12.0,6.0,True,0.5,0.7,True,"{""nfw_amp"": 410980635491.8776, ""nfw_r_s_kpc"": 9999.99999999999}",0.5749863029494775,1.0957473137434823,1.1592597773314992,True,"{""nfw_outer_amp"": 491339260810.1622, ""nfw_outer_r_s_kpc"": 9999.999999986509}",0.004664531556940776,0.6210556802343528,1.1416725801857108,1.3043936421428084,True,"{""iso_v0_kms"": 269.84906345125574, ""iso_r_c_kpc"": 13.823035112375983}",0.3528146859190764,0.9283830449607713,0.6913430808500599,True,"{""log_amp"": 20544208.67849171, ""log_r0_kpc"": 9999.99999999999}",0.5748909650169076,1.095701615454187,1.1591030299535119,True,True,-0.7272436822806307,1.0,True,19202137.465131458,0.16666666666666666,-0.0012558344630413387,-0.0012558344607237852,0.23098012522139774,True,
NGC5033,ok,22,1.0,66.0,5.16,194.2,44.59,13.3825,8.0,14.0,True,0.5,0.7,True,"{""nfw_amp"": 2914632.546965254, ""nfw_r_s_kpc"": 18.98513387231407}",1.7031430792290307,1.162831049895593,0.7087912150333469,True,"{""nfw_outer_amp"": 1597072.0985543726, ""nfw_outer_r_s_kpc"": 10.920361719012035}",0.22328587355350749,2.6321564081400273,1.2923164702189656,0.9707233416520246,True,"{""iso_v0_kms"": 185.23559961042832, ""iso_r_c_kpc"": 6.994086095933379}",1.0574414026284005,0.9921961228270108,0.48264396749202926,True,"{""log_amp"": 43847.360987867294, ""log_r0_kpc"": 9.765500137855316}",2.039108410326882,1.1793364349810773,0.7481842029396693,True,False,-0.7180537805184939,1.0,True,3888791.500656771,0.25,-0.8569078583611992,-1.0589977198580267,-0.9386951313109867,False,
NGC5055,ok,28,1.0,55.0,3.2,179.0,54.59,7.5085,10.0,18.0,True,0.5,0.7,True,"{""nfw_amp"": 9337597.36139695, ""nfw_r_s_kpc"": 66.84743924103746}",2.2062956948757297,1.161420222237857,1.26664001361527,True,"{""nfw_outer_amp"": 4141106.0396602154, ""nfw_outer_r_s_kpc"": 36.848414087715724}",0.6945429463664576,2.8868019028772878,1.2848233867215268,1.65989902467457,True,"{""iso_v0_kms"": 159.19516680440023, ""iso_r_c_kpc"": 14.288888715238402}",0.7550880828590875,0.9538677993318903,0.7201414858914724,True,"{""log_amp"": 46972.806819331374, ""log_r0_kpc"": 45.171510429890894}",2.3042640000536574,1.15910306500689,1.2574135038723855,True,False,-1.0429714411872397,1.0,True,-8423196.742267435,0.9,-0.4080625199554461,-0.5942931964104275,-0.40373297153227855,True,
NGC5371,ok,19,1.0,53.0,7.44,209.5,46.24,16.368000000000002,8.0,11.0,True,0.5,0.7,True,"{""nfw_amp"": 421837.78123631637, ""nfw_r_s_kpc"": 5.100995693428607}",1.9019420047235311,0.44939578816277986,0.24557380344768,True,"{""nfw_outer_amp"": 25371048.819018856, ""nfw_outer_r_s_kpc"": 130.9120101839184}",0.2736321541465617,5.900937909482832,0.8974537433073508,0.3313308580609755,True,"{""iso_v0_kms"": 127.2715578990406, ""iso_r_c_kpc"": 0.010000000000000014}",0.8828649677198691,0.10772385470755241,0.16124377350043942,True,"{""log_amp"": 16199.673396024618, ""log_r0_kpc"": 0.001000000000000001}",0.8830202107914737,0.10802928625022572,0.16129071381464205,True,True,0.6190607100432223,0.0,False,-40814.499496693956,0.625,-1.3176328335914647,-0.2620561242180434,0.06659012756667014,False,
NGC5585,ok,24,1.0,51.0,1.53,90.3,10.96,3.3660000000000005,12.0,12.0,True,0.5,0.7,True,"{""nfw_amp"": 140717033567.0475, ""nfw_r_s_kpc"": 9999.99999516386}",4.023485351531773,0.38417552848151326,0.5180334574463684,True,"{""nfw_outer_amp"": 426803.3345613174, ""nfw_outer_r_s_kpc"": 11.72035900882647}",0.4000920110401745,17.17825281874458,0.820208000360698,1.1780434857880353,True,"{""iso_v0_kms"": 89.97837357406755, ""iso_r_c_kpc"": 4.404082109223908}",2.550479006728975,0.45506799479300225,0.28039975741161777,True,"{""log_amp"": 7034209.979650681, ""log_r0_kpc"": 9999.99999999999}",4.023236041943725,0.384152390814368,0.5179215122666326,True,True,-1.19451379974699,1.0,True,-68060476.58535548,0.8333333333333334,-0.0009594922800137221,-0.5146543400440823,-0.5542292341395578,True,
NGC5907,ok,19,1.0,88.0,5.34,215.0,50.33,20.886,7.0,12.0,True,0.5,0.7,True,"{""nfw_amp"": 1720642.3211461594, ""nfw_r_s_kpc"": 11.594922104385555}",1.3469122690471647,0.23295379236310296,0.10167616192424146,True,"{""nfw_outer_amp"": 4583620.169232325, ""nfw_outer_r_s_kpc"": 29.577930390823514}",0.49336376751540806,3.84087562645526,0.4892877515221416,0.14930038646129656,True,"{""iso_v0_kms"": 175.57788008397043, ""iso_r_c_kpc"": 1.8415926381958867}",0.6238444145274016,0.07970720857787222,0.06913400506140892,True,"{""log_amp"": 32039.976096914874, ""log_r0_kpc"": 1.1271346738010946}",0.536945742163342,0.09009846634947631,0.06316971264169874,True,True,0.36025976560659134,0.0,False,-451447.3841413403,0.8571428571428571,-1.1189680472127985,-0.7753342296885423,-0.8939907302672374,False,
NGC5985,ok,33,1.0,60.0,7.01,293.6,34.72,15.422,16.0,17.0,True,0.5,0.7,True,"{""nfw_amp"": 2321616.5811124393, ""nfw_r_s_kpc"": 8.008923936067353}",0.6927760464109968,0.08828986948431936,0.06598893934887257,True,"{""nfw_outer_amp"": 4843240.039191045, ""nfw_outer_r_s_kpc"": 16.43869309099595}",0.14504046613848057,3.98455176501777,0.27134539920975387,0.14037930238768476,True,"{""iso_v0_kms"": 251.66357331299417, ""iso_r_c_kpc"": 2.96349902451155}",0.575004950002753,0.08348790918532478,0.05758228154216616,True,"{""log_amp"": 68680.29095493766, ""log_r0_kpc"": 2.2261083239491724}",0.8916889958224574,0.12620165086419927,0.07195421215217146,True,False,0.26875235258303015,0.0,False,4065119.637364204,0.3125,-1.0839148878746452,-0.818190535616939,-0.8894626901564656,False,
NGC6015,ok,44,2.0,60.0,2.3,154.1,29.23,5.3165,16.0,28.0,True,0.5,0.7,True,"{""nfw_amp"": 834293.4368612765, ""nfw_r_s_kpc"": 9.886634104622917}",3.1085727552865405,0.29488932719344013,0.19801846625730166,True,"{""nfw_outer_amp"": 1799837.0327612457, ""nfw_outer_r_s_kpc"": 18.863473084631067}",0.5198097106309542,5.789468688123012,0.4280606319885391,0.20171957891713246,True,"{""iso_v0_kms"": 128.5218222094759, ""iso_r_c_kpc"": 2.0319098702695935}",2.476599302581698,0.20733962187526922,0.1664728642881068,True,"{""log_amp"": 23039.707120634474, ""log_r0_kpc"": 4.78633522197128}",3.017626621034721,0.3084505809793716,0.19048778956047727,True,True,0.3633074246610042,0.0625,False,29390374.800585337,0.3125,-0.8945029652238388,-0.6574904092061125,-0.8515174548373123,False,
NGC6195,ok,23,1.0,62.0,13.94,251.7,36.43,16.977999999999998,16.0,7.0,True,0.5,0.7,True,"{""nfw_amp"": 161160887627.87173, ""nfw_r_s_kpc"": 9999.99999999999}",0.8334137694001981,0.9796253357426702,0.7008333999054629,True,"{""nfw_outer_amp"": 168845688254.6699, ""nfw_outer_r_s_kpc"": 9999.99998532627}",0.1332828808557403,0.8547567880424256,0.9833332585290413,0.7260541383555371,True,"{""iso_v0_kms"": 214.42253156855998, ""iso_r_c_kpc"": 26.411071651868173}",0.77237959794956,0.9329847241010516,0.5787380022564894,True,"{""log_amp"": 8051028.747131082, ""log_r0_kpc"": 9999.99999999999}",0.832901184182574,0.9795658853097972,0.7005087178951837,True,True,-0.23192253244426667,0.625,False,-3971328.849018167,0.75,-0.0035096735599753665,-0.0035096735654034056,0.48362620574351084,True,
NGC6503,ok,31,1.0,74.0,2.16,116.3,23.5,8.73,11.0,20.0,True,0.5,0.7,True,"{""nfw_amp"": 540002.9203269618, ""nfw_r_s_kpc"": 10.424846875056211}",0.6217808155669702,0.3590155008203843,0.10272628478260919,True,"{""nfw_outer_amp"": 514230.42538378667, ""nfw_outer_r_s_kpc"": 10.008083888168741}",0.10039858199032872,0.628764859820027,0.35493920702120973,0.10348152295921131,True,"{""iso_v0_kms"": 106.65835457231015, ""iso_r_c_kpc"": 3.5563058973508412}",0.41888596926579613,0.547540718311081,0.08736315991446865,True,"{""log_amp"": 14103.59257053878, ""log_r0_kpc"": 4.643822829044707}",0.7999087597208674,0.33609038311258804,0.11861250281823686,True,False,0.03776577961307722,0.36363636363636365,False,4218045.157144175,0.36363636363636365,-0.8625999889469458,-0.8780366932544951,-0.9760893677207957,False,
NGC6674,ok,15,1.0,54.0,6.04,241.3,72.41,26.979,5.0,10.0,True,0.5,0.7,True,"{""nfw_amp"": 2235048.272063745, ""nfw_r_s_kpc"": 9.952494212714917}",1.4605037267025793,0.28533651749578764,0.1360106978680858,True,"{""nfw_outer_amp"": 6093091.703908896, ""nfw_outer_r_s_kpc"": 28.637783709362196}",0.47034125375030345,4.003156683852117,0.4744127392267518,0.17137220535317382,True,"{""iso_v0_kms"": 212.3780405217078, ""iso_r_c_kpc"": 0.6277425102768929}",0.6144909525255321,1.0397291174900567,0.19799213476237515,True,"{""log_amp"": 45071.66663551824, ""log_r0_kpc"": 0.0010000000000014355}",0.6158181418039208,1.1356768830246526,0.20970604671796195,True,True,0.41191122150426035,0.0,False,-2469622.723109471,0.8,-1.2583106839615623,-0.9011503745468428,-0.8170699136179234,False,
NGC6789,skipped,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,too few points or zero residual scale
NGC6946,ok,58,1.0,38.0,2.44,158.9,20.4,7.281,20.0,38.0,True,0.5,0.7,True,"{""nfw_amp"": 6152514.229631094, ""nfw_r_s_kpc"": 45.37401956921611}",1.1428593037928791,1.0159722913986715,0.32662259257329673,True,"{""nfw_outer_amp"": 1402151.377721436, ""nfw_outer_r_s_kpc"": 17.551525781639533}",0.063325642319999,1.4732215709104777,1.0273646781221495,0.39399395351459116,True,"{""iso_v0_kms"": 132.77758248660996, ""iso_r_c_kpc"": 6.333570902187806}",0.8312935171643285,0.996087075566479,0.20078431793263607,True,"{""log_amp"": 48434.057549836274, ""log_r0_kpc"": 32.490302337394745}",1.1499700855961552,1.0159159174050632,0.32920396986787687,True,False,-0.2953896312178174,0.9,True,40456191.37659695,0.55,-0.31391702296131696,-0.6042492767280381,-0.7974592784793963,True,
NGC7331,ok,36,1.0,75.0,5.02,239.0,36.31,12.0125,13.0,23.0,True,0.5,0.7,True,"{""nfw_amp"": 220288205667.44394, ""nfw_r_s_kpc"": 9999.99999999999}",2.6462023592714683,1.1059739653404042,0.5184596247672062,True,"{""nfw_outer_amp"": 502899609.85956985, ""nfw_outer_r_s_kpc"": 455.49036867450116}",0.06839637133012087,2.7772060530367377,1.1301805119418127,0.5391738439321603,True,"{""iso_v0_kms"": 237.10580906867878, ""iso_r_c_kpc"": 24.368781772498714}",1.7627924257537273,0.9284718846667419,0.3943314191068022,True,"{""log_amp"": 11004768.59640678, ""log_r0_kpc"": 9999.999830301533}",2.6451294021102942,1.1057720439239414,0.5183130363724842,True,True,-0.9951914994714646,0.9230769230769231,True,-1012035.3374441017,0.38461538461538464,-0.0032719571155646536,-0.06836338716691592,-0.2596473171812613,True,
