galaxy,fit_status,n_points,Q,Inc_deg,Rdisk_kpc,Vflat_kms,Rmax_kpc,radial_break_kpc,n_inner,n_outer,quality_primary,upsilon_disk,upsilon_bulge,nfw_full_success,nfw_full_params,nfw_full_weighted_mse,nfw_full_relative_rmse,nfw_full_mean_abs_fractional_error,nfw_outer_success,nfw_outer_params,nfw_outer_fit_weighted_mse,nfw_outer_full_weighted_mse,nfw_outer_relative_rmse,nfw_outer_mean_abs_fractional_error,iso_full_success,iso_full_params,iso_full_weighted_mse,iso_full_relative_rmse,iso_full_mean_abs_fractional_error,log_full_success,log_full_params,log_full_weighted_mse,log_full_relative_rmse,log_full_mean_abs_fractional_error,iso_beats_nfw_full,log_beats_nfw_full,inner_gap_mean_norm_after_outer_nfw,inner_gap_negative_fraction_after_outer_nfw,central_overshoot_after_outer_nfw,inner_gap_density_mean,inner_gap_density_negative_fraction,nfw_full_outer_slope_mean,nfw_outer_outer_slope_mean,target_outer_slope_mean,nfw_full_shallow_outer,skip_reason
F568-3,ok,18,1.0,40.0,4.99,0.0,17.98,8.820999999999996,12.0,6.0,True,0.5,0.7,True,"{""nfw_amp"": 124670626355.85641, ""nfw_r_s_kpc"": 9999.99999999992}",2.565771987418347,0.43311722133544955,0.6831657943489685,True,"{""nfw_outer_amp"": 15923642.46397383, ""nfw_outer_r_s_kpc"": 99.77979150019097}",0.03150724580456104,3.317587650092232,0.40501813397248215,0.7984724789370756,True,"{""iso_v0_kms"": 108.68221047838195, ""iso_r_c_kpc"": 6.317790960455564}",0.6989575988770822,0.22024213195890172,0.25026241841453245,True,"{""log_amp"": 6232312.011789643, ""log_r0_kpc"": 9999.999999998641}",2.5651422027759,0.4331038661453183,0.6829926595862488,True,True,0.056452093854262225,0.3333333333333333,False,5152275.839735041,0.3333333333333333,-0.0017610026897785975,-0.15679560103134152,-0.4063208810567665,True,
F568-V1,ok,15,1.0,40.0,2.85,112.3,17.63,6.2700000000000005,8.0,7.0,True,0.5,0.7,True,"{""nfw_amp"": 507304.7297440362, ""nfw_r_s_kpc"": 8.41484601242358}",0.22607342388070278,0.5052343839264967,0.46124320514612555,True,"{""nfw_outer_amp"": 306834.651980019, ""nfw_outer_r_s_kpc"": 5.77748820216322}",0.02839790937927711,0.3463881810527215,0.6721131727875203,0.589772465583487,True,"{""iso_v0_kms"": 113.00490109496343, ""iso_r_c_kpc"": 2.6674233080674226}",0.0593260000991279,0.07221584147002841,0.07337329530128191,True,"{""log_amp"": 17971.746750899387, ""log_r0_kpc"": 4.629009395520512}",0.2971125956023385,0.5415865770705757,0.5030280296742372,True,False,-0.44780107105450073,0.75,True,7693495.387552652,0.125,-0.7537898426200763,-0.8961863067719932,-1.0217942413585466,False,
F571-8,ok,13,1.0,85.0,3.56,139.7,15.55,6.5539999999999985,9.0,4.0,True,0.5,0.7,True,"{""nfw_amp"": 233477424160.2803, ""nfw_r_s_kpc"": 9999.999999954855}",22.721131857594234,1.1132837989861752,0.8797673812394385,True,"{""nfw_outer_amp"": 2450458.3210807745, ""nfw_outer_r_s_kpc"": 21.465289158900312}",0.16953177689588492,42.858324809524724,1.5734390991203007,1.3870088067952557,True,"{""iso_v0_kms"": 179.72022081940653, ""iso_r_c_kpc"": 10.541550648266766}",11.749958994656541,0.8159366417780421,0.6143181891169059,True,"{""log_amp"": 11670986.934526164, ""log_r0_kpc"": 9999.999999999938}",22.717243168596685,1.113199833173568,0.8796573956779375,True,True,-1.4514406791706274,1.0,True,-104835576.38311033,0.6666666666666666,-0.0014341966682254181,-0.4540595577273707,-0.4021922166476104,True,
F571-V1,ok,7,2.0,30.0,2.47,83.6,13.59,6.0249999999999995,3.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 1570964.7048539147, ""nfw_r_s_kpc"": 32.39462169786566}",0.2605196460674399,0.2500003851103924,0.19494507473825642,True,"{""nfw_outer_amp"": 384288.54495586455, ""nfw_outer_r_s_kpc"": 12.730970973645015}",0.007037724027661316,0.5909108862034567,0.45482797555331667,0.3158269272479201,True,"{""iso_v0_kms"": 82.89355400586116, ""iso_r_c_kpc"": 5.193999545978917}",0.019353526428823854,0.06560926889677865,0.04942594567897545,True,"{""log_amp"": 17068.45610495497, ""log_r0_kpc"": 22.830063423440095}",0.26870177508495535,0.24890931562940016,0.1953883067762296,True,False,-0.4868810147568454,1.0,True,-189077.91072971272,0.3333333333333333,-0.3367370722747838,-0.6338653310971072,-0.675166935856172,True,
F574-1,ok,14,1.0,65.0,4.46,97.8,12.6,9.014999999999999,10.0,4.0,True,0.5,0.7,True,"{""nfw_amp"": 1403016.330655597, ""nfw_r_s_kpc"": 23.282678005501793}",1.7216574246649625,0.32222814978952036,0.3492057529718778,True,"{""nfw_outer_amp"": 172526.7001000432, ""nfw_outer_r_s_kpc"": 4.747407576714851}",0.00020035799172332018,13.564298932831056,1.0239456718018092,0.9716017677707532,True,"{""iso_v0_kms"": 93.19616749820996, ""iso_r_c_kpc"": 3.290649276589728}",0.07340343578750705,0.06267315608908787,0.04811969123816613,True,"{""log_amp"": 21265.378627487105, ""log_r0_kpc"": 16.576245737887735}",1.7797510503207632,0.3221861004961195,0.35166468689646685,True,False,-0.651930197521813,1.0,True,2242065.013497108,0.2,-0.44849507974769587,-1.031904110560765,-1.0356678598030804,True,
F574-2,skipped,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,too few points or zero residual scale
F579-V1,ok,14,1.0,26.0,3.37,112.1,15.16,7.414000000000001,9.0,5.0,False,0.5,0.7,True,"{""nfw_amp"": 202959.67534821312, ""nfw_r_s_kpc"": 4.469019476035417}",0.17680934265931642,0.24964905658285375,0.09860567719495325,True,"{""nfw_outer_amp"": 292885.5033195614, ""nfw_outer_r_s_kpc"": 6.454084886096368}",0.0008998452186323279,0.39451174041471615,0.26906247258018456,0.10801565077812618,True,"{""iso_v0_kms"": 97.59244234815921, ""iso_r_c_kpc"": 1.1173889479217207}",0.011537134371119992,0.024948206253930013,0.024341845646433307,True,"{""log_amp"": 12102.563274157754, ""log_r0_kpc"": 2.0999117491979775}",0.26201223791755807,0.2934818976881322,0.12176653555797401,True,False,0.15635486642105373,0.1111111111111111,False,-3092579.3859458202,0.6666666666666666,-1.040467512502892,-0.9049791747777618,-0.9111543147523481,False,
F583-1,ok,25,1.0,63.0,2.36,85.8,16.26,5.192,16.0,9.0,True,0.5,0.7,True,"{""nfw_amp"": 2622708.6620026943, ""nfw_r_s_kpc"": 42.11376279352503}",1.7942730440973094,0.3844240920324252,1.1377590293359434,True,"{""nfw_outer_amp"": 213839.08812261792, ""nfw_outer_r_s_kpc"": 7.850727628319702}",0.027051450923777653,8.859372815455622,0.9617425333694872,2.5648414068399545,True,"{""iso_v0_kms"": 83.75642462507709, ""iso_r_c_kpc"": 4.32213779474096}",0.1790556112483624,0.22451138319732045,0.35138381098327903,True,"{""log_amp"": 22933.26360984357, ""log_r0_kpc"": 31.191408380406997}",1.816557509809298,0.3836554185182815,1.1338121223144908,True,False,-0.9832325573559194,1.0,True,-12065917.858298108,0.5625,-0.23258347952444158,-0.7262849552502108,-0.8041561344109807,True,
F583-4,ok,12,1.0,55.0,1.93,0.0,7.29,4.246,5.0,7.0,True,0.5,0.7,True,"{""nfw_amp"": 1356921.7860839707, ""nfw_r_s_kpc"": 31.48441424769658}",0.11647494222756523,0.1664459905740594,0.10274031274780371,True,"{""nfw_outer_amp"": 2104860.0971827796, ""nfw_outer_r_s_kpc"": 40.14401786921608}",0.07133929572393691,0.11896742476482053,0.16350797409417797,0.09556089688510112,True,"{""iso_v0_kms"": 59.23314691715573, ""iso_r_c_kpc"": 2.1849520739302335}",0.30023436454616553,0.20618468827975261,0.17133042276056595,True,"{""log_amp"": 15320.899005491607, ""log_r0_kpc"": 22.2961951569236}",0.11637552075706954,0.16704382934361298,0.10306344394063881,False,True,0.013461385768015505,0.6,False,-9608082.674327109,0.8,-0.20859694597738088,-0.1688692869284903,3.144493912358726,True,
IC2574,ok,34,2.0,75.0,2.78,66.4,10.23,6.116,19.0,15.0,True,0.5,0.7,True,"{""nfw_amp"": 39262889480.05034, ""nfw_r_s_kpc"": 9999.99999999999}",13.198512392563034,0.37676283864855914,0.4046348358710819,True,"{""nfw_outer_amp"": 63408359477.71727, ""nfw_outer_r_s_kpc"": 9999.999999924123}",0.4659044823643244,31.72162342234496,0.3559501965685015,0.48122866375892187,True,"{""iso_v0_kms"": 70.88190154080999, ""iso_r_c_kpc"": 8.15095908568965}",1.047498624874022,0.13727125078344352,0.12061796045653975,True,"{""log_amp"": 1962982.8496135103, ""log_r0_kpc"": 9999.999999983773}",13.194157707873917,0.3766715314788272,0.4045549074336605,True,True,-0.477876474988598,1.0,True,-624043.1505719227,0.7368421052631579,-0.0010987172583109366,-0.0010987172604956185,0.4095733720670485,True,
