r,target_delta_g,nfw_full_delta_g,nfw_outer_delta_g,cored_isothermal_full_delta_g,gap_full_delta_g,gap_outer_delta_g,target_speed,nfw_outer_speed,target_slope,nfw_outer_slope,target_density_proxy,nfw_outer_density_proxy,gap_outer_density_proxy
13.533333333333335,2410.349941057719,1904.7665071870215,2395.1543766322443,2369.535058639226,505.5834338706977,15.195564425474913,180.61026881745806,180.04005821970946,-0.687277507402257,-0.7085742148584586,0.00043256540970729575,0.00042284698630034516,9.718423406948612e-06
13.71461187214612,2388.2648421796466,1896.7872953164942,2372.5981254235835,2346.820257486549,491.4775468631524,15.666716756063124,180.98100828094135,180.38642526189687,-0.6962244241424855,-0.7136513651099108,0.000420057730841163,0.00041170502111395374,8.352709727209537e-06
13.895890410958907,2366.39368651961,1888.86385055393,2350.390553306421,2324.4270119225043,477.52983596568015,16.003133213188903,181.3371096523311,180.72290820949928,-0.704941879007265,-0.7186685479775292,0.00040803786204175296,0.0004009623887075099,7.075473334244422e-06
14.077168949771693,2344.7409054769305,1880.9956225942171,2328.524127431152,2302.353509529843,463.74528288271335,16.216778045778483,181.6791508947557,181.04979300034574,-0.7134346675839538,-0.7236268801544838,0.0003964835391924803,0.00039060084881540024,5.882690377078274e-06
14.258447488584478,2323.3103189320045,1873.1820681642885,2306.991524115453,2280.5975535406956,450.12825076771605,16.318794816551417,182.00768715133557,181.36735511995994,-0.7217075292084019,-0.7285274501821846,0.00038537361691479355,0.00038060317913336914,4.770437781424592e-06
14.439726027397263,2302.105180373307,1865.42265091275,2285.7856217514473,2259.156609803187,436.68252946055713,16.31955862185987,182.32325164619712,181.6758600790287,-0.729765145790509,-0.7333713193405629,0.0003746880084325353,0.00037095310796866784,3.7349004638668587e-06
14.621004566210049,2281.1282190400575,1857.7168413015088,2264.8994939966724,2238.0278492074426,423.4113777385487,16.22872504338511,182.62635654991115,181.97556386430617,-0.7376121407318692,-0.7381595225053275,0.0003644076288402156,0.0003616352520526046,2.772376787608794e-06
14.802283105022834,2260.381679273268,1850.0641164994502,2244.326403235773,2217.208185991767,410.31756277381805,16.055276037495332,182.91749381076113,182.26671336471054,-0.7452530779343078,-0.7428930689731033,0.0003545143415744583,0.0003526350590654068,1.8792825090523243e-06
14.98356164383562,2239.8673572554035,1842.4639602780546,2224.0597943005164,2196.694312311186,397.40339697734885,15.80756295488709,183.19713595318984,182.54954677423376,-0.7526924608960712,-0.7475729432554203,0.00034499090790004636,0.00034393875446722514,1.0521534328235764e-06
15.164840182648405,2219.586635307217,1834.9158629089748,2204.0932884364015,2176.482729415352,384.6707723982422,15.493346870815458,183.46573684472057,182.8242939731643,-0.759934731894532,-0.7522001058426895,0.00033582093923345394,0.0003355332922683945,2.876469650591769e-07
15.34611872146119,2199.5405138994493,1827.4193210634637,2184.4206775047,2156.569775750888,372.12119283598554,15.1198363947492,183.72373243259756,183.09117688900744,-0.7669842712520563,-0.7567754939405518,0.0003269888521375382,0.0003274063094070648,-4.1745726952738063e-07
15.527397260273975,2179.7296415268966,1819.9738377136682,2165.0359184093522,2136.9516522741815,359.75580381322834,14.693723117544323,183.97154145134164,183.35040983838604,-0.7738453966849193,-0.7613000221792845,0.00031847982583119324,0.0003195460834336422,-1.06625760244826e-06
15.70867579908676,2160.1543425828163,1812.5789220357271,2145.933127738685,2117.6244452342503,347.57542054708915,14.221214844131282,184.20956610236846,183.6021998511108,-0.7805223627296982,-0.765774583295979,0.00031027976206717044,0.0003119414932295345,-1.6617311623612048e-06
15.889954337899546,2140.8146433627658,1805.2340893146336,2127.1065766124157,2098.584146661336,335.58055404813217,13.708066750350099,184.43819270677386,183.84674697752232,-0.7870193602495306,-0.7702000487938108,0.00030237524724018695,0.00030458198251288664,-2.206735272697329e-06
16.07123287671233,2121.7102963186276,1797.9388608508111,2108.5506857248765,2079.826672775128,323.77143546781645,13.15961059375104,184.65779233234375,184.08424458012686,-0.7933405160120515,-0.7745772695761843,0.0002947535165957177,0.0002974575259065394,-2.7040093108196293e-06
16.252511415525117,2102.840802675848,1790.692763868426,2090.2600205758745,2061.3478805067552,312.1480388074219,12.580782099973476,184.8687213958089,184.31487961047844,-0.7994898923420237,-0.7789070765585961,0.000287402420417751,0.00029055859736375325,-3.1561769460021218e-06
16.433789954337904,2084.2054335195685,1783.49533142532,2072.22928688099,2043.143582310772,300.71010209424844,11.976146638578484,185.07132224131962,184.53883287218875,-0.805471486842805,-0.7831902812584985,0.00028031039208103445,0.00028387614076554876,-3.565748684519033e-06
16.615068493150687,2065.8032494486083,1776.3461023245725,2054.4533261535603,2025.209559427069,289.4571471240358,11.349923295048029,185.2659236960804,184.7562792708888,-0.8112892321859704,-0.7874276763646435,0.00027346641786017657,0.00027740154251992225,-3.935124659745041e-06
16.796347031963474,2047.633118889843,1769.2446210276676,2036.9271114509245,2007.5415737379153,278.3884978621754,10.706007438918505,185.4528416040464,184.96738805190677,-0.8169469959659068,-0.7916200362860195,0.00026686000839461573,0.0002711266060081367,-4.266597613519877e-06
