family,eta_mode,params,eta_params,rotation_mse,residual_mse,lensing_mse,smoothness,path_penalty,weak_field_max,complexity,total_score,flatness_metric,warp_flatness_metric,delta_g_positive_fraction,mass_monotonic_fraction,rho_nonnegative_fraction,oscillation_score,eta_mean,eta_span
log_warp,no_slip,"{""A"": 60400.0, ""r0"": 15.333241747510177}","{""eta"": 1.0}",2.7382939481784208,2.8415795019936114,0.10178242326841816,3.038572856617287,0.0,1.4088369948999404e-06,2,5.483331876651284,0.014555178116135109,0.029036928346775407,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 53542.857142857145, ""r0"": 11.723008346614838}","{""eta"": 1.0}",1.8480758168988245,1.9194758739742244,0.3552908031593591,5.3303166899377,0.0,1.4286342919790447e-06,2,5.504788431825241,0.009835978955255302,0.02416479948287929,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 46685.71428571428, ""r0"": 10.25041904006358}","{""eta"": 1.0}",2.4087499536227663,2.349717094627822,0.2057180881397044,6.036194867517511,0.0,1.370178000515431e-06,2,5.540165272157608,0.006610230523514531,0.02192203518009897,1.0,1.0,1.0,0.0,1.0,0.0
exponential_saturating_warp,no_slip,"{""A"": 106666.66666666666, ""r0"": 35.495517795972724}","{""eta"": 1.0}",1.9764481120688864,1.9171215276354228,0.3727427006013949,1.0784747328284716,0.0,1.351659358406494e-06,2,5.61351788947509,0.004001866546056463,0.013699266345628063,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 45314.28571428571, ""r0"": 8.96280949311433}","{""eta"": 1.0}",2.1062099880086915,2.1160063691406568,0.35615656492195347,8.454571072481109,0.0,1.398897320412787e-06,2,5.827957069941898,0.0048427304699824245,0.01981915547776516,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 57657.142857142855, ""r0"": 13.407151859613021}","{""eta"": 1.0}",2.4162161048355646,2.537056158663457,0.2781077249011515,4.141395812477689,0.0,1.4318824108136136e-06,2,5.840191396355644,0.012333983339845747,0.026540020116229704,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,constant_low,"{""A"": 49428.57142857143, ""r0"": 8.96280949311433}","{""eta"": 0.75}",1.660357571762136,1.803796822549638,0.2686019148236006,10.059523734167001,0.0,1.475119482681479e-06,3,5.8975981090915255,0.005920054887281721,0.01981915547776515,1.0,1.0,1.0,0.0,0.75,0.0
exponential_saturating_warp,constant_high,"{""A"": 106666.66666666666, ""r0"": 35.495517795972724}","{""eta"": 1.25}",1.9764481120688864,1.9171215276354228,0.22765657701760975,1.0784747328284716,0.0,1.351659358406494e-06,3,5.933173395139949,0.004001866546056463,0.013699266345628063,1.0,1.0,1.0,0.0,1.25,0.0
log_warp,no_slip,"{""A"": 52171.428571428565, ""r0"": 13.407151859613021}","{""eta"": 1.0}",2.528351801017483,2.4234558554272687,0.308351594530798,3.3908295764396046,0.0,1.3488707144965574e-06,2,6.043638011759629,0.01105108262025806,0.026540020116229707,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 63142.85714285714, ""r0"": 17.53603635950574}","{""eta"": 1.0}",3.104651383737984,3.1676735000976515,0.1427257450946511,2.2149661778694187,0.0,1.3822253942117924e-06,2,6.0441307361337495,0.016794305839092444,0.03164141078667233,1.0,1.0,1.0,0.0,1.0,0.0
rational_saturating_warp,constant_low,"{""A"": 140000.0, ""r0"": 28.0, ""n"": 1.0}","{""eta"": 0.75}",1.0533806871958835,1.1537897616663422,0.2697903378666464,6.521210307380836,0.0,1.4591821127893437e-06,4,6.067028668523773,0.014930774557185984,0.004477993855605602,1.0,1.0,1.0,0.0,0.75,0.0
log_warp,constant_low,"{""A"": 52171.428571428565, ""r0"": 10.25041904006358}","{""eta"": 0.75}",1.8523441333176631,1.9833932502862142,0.26488505530267653,7.5380791586403655,0.0,1.465447496470491e-06,3,6.080956226841358,0.008006655089146619,0.021922035180098956,1.0,1.0,1.0,0.0,0.75,0.0
exponential_saturating_warp,constant_low,"{""A"": 106666.66666666666, ""r0"": 22.937749786204627}","{""eta"": 0.75}",1.5633575455301283,1.6753054574949116,0.3623395805010789,4.302962830834264,0.0,1.5232885303943207e-06,3,6.097472941282496,0.03604738133326306,0.028775701315971257,1.0,1.0,1.0,0.0,0.75,0.0
log_warp,constant_low,"{""A"": 48057.142857142855, ""r0"": 8.96280949311433}","{""eta"": 0.75}",1.5446458362520352,1.6460431870833312,0.362030921473981,9.50905143001819,0.0,1.4497120952585816e-06,3,6.127854954352354,0.005578447532685756,0.019819155477765145,1.0,1.0,1.0,0.0,0.75,0.0
log_warp,constant_low,"{""A"": 46685.71428571428, ""r0"": 7.836943416252968}","{""eta"": 0.75}",1.6145778125498254,1.7827402756123103,0.33374420553167317,13.317267407707197,0.0,1.479537675905e-06,3,6.129882981605505,0.003890858157179543,0.017860402336078607,1.0,1.0,1.0,0.0,0.75,0.0
log_warp,no_slip,"{""A"": 64514.28571428571, ""r0"": 17.53603635950574}","{""eta"": 1.0}",3.393270076936893,3.5401020900225406,0.08586863388135976,2.312226779898567,0.0,1.4000968258837685e-06,2,6.163569582475352,0.017069837311397287,0.03164141078667233,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 56285.71428571428, ""r0"": 15.333241747510177}","{""eta"": 1.0}",2.6068991656418246,2.5194804352801397,0.33186167296112257,2.6387129008945296,0.0,1.3509752813312103e-06,2,6.21559832441534,0.013641865115123492,0.029036928346775397,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 61771.428571428565, ""r0"": 15.333241747510177}","{""eta"": 1.0}",3.1258922935431492,3.310411943178368,0.173720860649449,3.178125678252169,0.0,1.4281242327561835e-06,2,6.231726547109081,0.014836025222813427,0.029036928346775383,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 43942.857142857145, ""r0"": 8.96280949311433}","{""eta"": 1.0}",2.8024983042658183,2.7437231866642855,0.26297881592916494,7.950563019092829,0.0,1.3734899329898899e-06,2,6.241309360979673,0.004445983319197675,0.019819155477765145,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 46685.71428571428, ""r0"": 8.96280949311433}","{""eta"": 1.0}",1.6901890698236695,1.7501130359470043,0.5879304195678065,8.974067209456221,0.0,1.4243047078356845e-06,2,6.288426779132294,0.0052197615501627,0.019819155477765152,1.0,1.0,1.0,0.0,1.0,0.0
