galaxy,Rdisk_kpc,Vflat_kms,n_points,coverage_fraction,acceleration_scale,iso_beats_nfw_full,log_beats_nfw_full,central_overshoot_after_outer_nfw,inner_gap_mean_norm_after_outer_nfw,nfw_full_relative_rmse,iso_full_relative_rmse
UGC04325,1.86,90.9,8,0.5833333333333334,2106.2718168570264,True,False,False,-0.1756299447041323,0.2047265179041592,0.0824906540334163
UGC04483,0.18,0.0,8,0.7777777777777778,389.12267514677103,True,False,True,-0.926658966063846,0.3258082290477809,0.150373454007141
UGC04499,1.73,72.8,9,0.625,654.0337064220181,True,False,True,-0.4697454034600598,0.3008560220475489,0.1156975266859712
UGC05005,3.2,98.9,11,1.0,382.7209848125297,True,False,True,-0.8868062503916391,0.3237510221059797,0.0584969094170113
UGC05253,8.07,213.7,73,0.9444444444444444,35694.19795453443,True,False,False,0.1559643102291408,0.98914808106724,0.9982949910969416
UGC05716,1.14,73.1,12,0.625,698.3799202246994,False,False,False,-0.0398909814860498,0.0712969935353455,0.2888611432553584
UGC05721,0.38,79.7,23,1.0,2508.484393939393,True,False,True,-1.043743577126782,0.3409618961263191,0.2115322571940977
UGC05750,3.46,0.0,11,0.9444444444444444,358.1535207823961,True,True,True,-1.725136378384038,0.4639184628811588,0.147718011838012
UGC05764,1.17,0.0,10,0.6527777777777778,1188.0663117639529,True,False,True,-4.020568698931951,0.2130635465268916,0.1172707609841109
UGC05829,1.99,0.0,11,0.6805555555555556,477.6453184713375,False,False,False,0.0185777448303652,0.124547400300717,0.1417586544791031
UGC05918,1.66,0.0,8,0.5833333333333334,481.4706900540545,True,False,False,-0.1206952258721002,0.146301883627387,0.0361946394199092
UGC05986,1.67,113.0,15,0.7638888888888888,1708.966861702128,True,False,True,-1.3158000773049925,0.2811669786442917,0.0868022887388575
UGC06399,2.05,85.0,9,0.625,931.9330791498951,True,False,True,-0.5999836628125458,0.2413152545772649,0.0391635726368826
UGC06446,1.49,82.2,17,0.8055555555555556,1170.6333311059086,False,False,False,-0.1670252494349963,0.1905750919207282,0.1336021238814221
UGC06614,5.1,199.8,13,0.7222222222222222,847.9218895034379,True,False,True,-0.9052343393226858,0.8938297296528307,0.6994123541127986
UGC06667,5.15,83.8,9,0.5277777777777778,1108.7560496183207,True,False,True,-0.4488123669479811,0.1757034654216995,0.0469170109344905
UGC06786,3.6,219.4,45,1.0,15346.733315853007,False,False,False,0.1707300063366849,0.9040835028476704,0.969888056253161
UGC06787,5.37,248.1,71,0.9583333333333334,7923.9299094441,True,False,False,-0.4206359590365948,1.10756623157961,0.9735392763899898
UGC06818,1.39,71.2,8,0.5972222222222222,502.37912668057265,True,True,True,-3.142840106951084,0.5253374829611338,0.270450043380336
UGC06917,2.76,108.7,11,0.5138888888888888,1181.1460891390022,True,False,False,-0.1175290742279537,0.1322534732371422,0.0484900970405338
UGC06930,3.94,107.2,10,0.6388888888888888,922.663995964721,True,False,False,-0.0933050103795099,0.2426510395370113,0.1062619889945145
UGC06983,3.21,109.0,17,0.625,1192.2921658931468,True,False,True,-0.3056149762804395,0.2467905445444166,0.1620341050507004
UGC07089,2.26,0.0,12,0.6805555555555556,472.2854749027907,True,True,True,-0.2941921616620811,0.1746470123903895,0.1398988663816313
UGC07125,3.38,65.2,13,0.7361111111111112,234.8840278988665,True,False,True,-0.6674071960215303,0.2966048197234272,0.0768166163016889
UGC07151,1.25,73.5,11,0.6805555555555556,1031.04075397233,True,False,False,-0.1296706139365429,0.2883938737658138,0.1414687464609386
UGC07323,2.26,0.0,10,0.6527777777777778,717.4387366961217,True,True,True,-0.4963544881208069,0.1987955199317547,0.1796421424298257
UGC07399,1.64,103.0,10,0.6527777777777778,2482.4824664837647,True,False,False,0.0569235959742044,0.1199275976354253,0.0487159577400367
