galaxy,coef_mode_1,coef_mode_2,coef_mode_3,coef_mode_4,coef_mode_5,coef_mode_6,Rdisk_kpc,Vflat_kms,n_points,coverage_fraction,acceleration_scale,iso_beats_nfw_full,log_beats_nfw_full,central_overshoot_after_outer_nfw,inner_gap_mean_norm_after_outer_nfw,nfw_full_relative_rmse,iso_full_relative_rmse
UGC06614,1e-12,9.999999999999998e-13,0.46129907771854,0.13980466629607452,1e-12,9.999999999999998e-13,5.1,199.8,13,0.7222222222222222,847.9218895034379,True,False,True,-0.9052343393226858,0.8938297296528307,0.6994123541127986
UGC06667,0.3247402029834856,0.31797502222601204,0.00039209238553832585,0.0003665459658525816,0.06016033862670881,0.21958366274663102,5.15,83.8,9,0.5277777777777778,1108.7560496183207,True,False,True,-0.4488123669479811,0.1757034654216995,0.0469170109344905
UGC06786,0.01812567509720948,0.09093970859314307,0.013673926523654121,0.02181018617649875,0.05697297416337156,0.04735424442605808,3.6,219.4,45,1.0,15346.733315853007,False,False,False,0.1707300063366849,0.9040835028476704,0.969888056253161
UGC06787,1e-12,2.6318375203886943e-05,0.012068354818880092,0.02590998758932084,0.179135552091597,0.10839423075729607,5.37,248.1,71,0.9583333333333334,7923.9299094441,True,False,False,-0.4206359590365948,1.10756623157961,0.9735392763899898
UGC06818,0.2502752366664039,1.0088808070279417e-12,0.7788275386183421,5.622354448419289e-07,1e-12,5.934412069648652e-12,1.39,71.2,8,0.5972222222222222,502.37912668057265,True,True,True,-3.142840106951084,0.5253374829611338,0.270450043380336
UGC06917,0.5552296545546606,0.12995912894289252,0.10545731815883774,0.10347879781675993,0.41301490853399464,0.048247869966465004,2.76,108.7,11,0.5138888888888888,1181.1460891390022,True,False,False,-0.1175290742279537,0.1322534732371422,0.0484900970405338
UGC06930,0.08430555604201159,0.4278593878833607,0.0007457784412706198,0.023012233594094086,0.1550144773977946,0.42459180984108674,3.94,107.2,10,0.6388888888888888,922.663995964721,True,False,False,-0.0933050103795099,0.2426510395370113,0.1062619889945145
UGC06983,0.0010823611203717091,0.15550601028194155,2.5938553187436005e-08,0.006120335775163219,0.2073830963567417,0.6745522721729303,3.21,109.0,17,0.625,1192.2921658931468,True,False,True,-0.3056149762804395,0.2467905445444166,0.1620341050507004
UGC07089,0.19410939934213275,0.1764641758105783,0.17725794797099617,0.32148370310265106,0.0009325838061101246,0.19115027736023546,2.26,0.0,12,0.6805555555555556,472.2854749027907,True,True,True,-0.2941921616620811,0.1746470123903895,0.1398988663816313
UGC07125,0.004018086645586747,0.40951073661570014,6.429758077454227e-07,0.26908357965042856,0.2004113768836377,0.19645341154553952,3.38,65.2,13,0.7361111111111112,234.8840278988665,True,False,True,-0.6674071960215303,0.2966048197234272,0.0768166163016889
UGC07151,0.1123043770415231,0.24902024158323935,0.12296809124039727,0.011201045616981735,0.5332898698880629,0.08027190448516273,1.25,73.5,11,0.6805555555555556,1031.04075397233,True,False,False,-0.1296706139365429,0.2883938737658138,0.1414687464609386
UGC07323,0.27400035171340553,0.1789515521770052,0.008071013599575258,0.4167638686977807,0.16655771536788336,0.04546742697173966,2.26,0.0,10,0.6527777777777778,717.4387366961217,True,True,True,-0.4963544881208069,0.1987955199317547,0.1796421424298257
UGC07399,0.3627365043775009,0.3660327252540471,0.08316305669567776,0.022985898189885917,0.1979314050337326,0.2314397023319379,1.64,103.0,10,0.6527777777777778,2482.4824664837647,True,False,False,0.0569235959742044,0.1199275976354253,0.0487159577400367
UGC07524,0.32485231580532875,0.33640504264382437,0.07311793382358125,0.07233141704432686,0.315274196652577,0.0360236721400386,3.46,79.5,31,0.7222222222222222,651.2763570391872,True,False,True,-0.5961684740293428,0.2073405217274172,0.1247769759716852
UGC07577,0.3772231900470834,9.999999999999998e-13,3.580226441792357,2.906404768322362e-12,1e-12,9.999999999999998e-13,0.9,0.0,9,0.5833333333333334,48.47572892115234,True,True,True,-0.8952602868720333,0.5598501374516532,0.5264755512215887
