target,bootstrap,mode,best_abs_correlation
positive_delta_g,32,5,0.9374219418142377
positive_delta_g,32,6,0.893752012097873
positive_delta_g,33,1,0.9838858664402994
positive_delta_g,33,2,0.8885037533656387
positive_delta_g,33,3,0.9996034568894551
positive_delta_g,33,4,0.9841368657963805
positive_delta_g,33,5,0.9937260949043742
positive_delta_g,33,6,0.727311030500136
positive_delta_g,34,1,0.7448878387418842
positive_delta_g,34,2,0.9937338476685943
positive_delta_g,34,3,0.9977236225503989
positive_delta_g,34,4,0.9785844160385914
positive_delta_g,34,5,0.9956255764586731
positive_delta_g,34,6,0.5281802274534889
positive_delta_g,35,1,0.9982403495470665
positive_delta_g,35,2,0.9798277998570627
positive_delta_g,35,3,0.99713161396665
positive_delta_g,35,4,0.8537274857463819
positive_delta_g,35,5,0.967479305210015
positive_delta_g,35,6,0.9169509617811505
positive_delta_g,36,1,0.9979255573690975
positive_delta_g,36,2,0.9465874147551878
positive_delta_g,36,3,0.9937797863675
positive_delta_g,36,4,0.9854832397703363
positive_delta_g,36,5,0.9932311853463172
positive_delta_g,36,6,0.8604001365725146
positive_delta_g,37,1,0.9912850578411314
positive_delta_g,37,2,0.7325083483540642
positive_delta_g,37,3,0.9861033907632173
positive_delta_g,37,4,0.9943451640212626
positive_delta_g,37,5,0.9952609767266957
positive_delta_g,37,6,0.706113998115424
positive_delta_g,38,1,0.991308424996382
positive_delta_g,38,2,0.8271851763242821
positive_delta_g,38,3,0.99253134977742
positive_delta_g,38,4,0.9981915736809038
positive_delta_g,38,5,0.991885426804862
positive_delta_g,38,6,0.9304834637892274
positive_delta_g,39,1,0.967063057805548
positive_delta_g,39,2,0.9448689581257926
positive_delta_g,39,3,0.9774008541873388
positive_delta_g,39,4,0.9908913382380784
positive_delta_g,39,5,0.9955127479748751
positive_delta_g,39,6,0.8913753240660404
signed_nfw_residual_of_residual,0,1,0.9953512489930431
signed_nfw_residual_of_residual,0,2,0.9535087357939811
signed_nfw_residual_of_residual,0,3,0.9601473387392317
signed_nfw_residual_of_residual,0,4,0.8081045593123746
signed_nfw_residual_of_residual,0,5,0.4331857935672533
signed_nfw_residual_of_residual,0,6,0.9137131232405601
signed_nfw_residual_of_residual,1,1,0.998750173277356
signed_nfw_residual_of_residual,1,2,0.89127262427979
signed_nfw_residual_of_residual,1,3,0.9967013609280264
signed_nfw_residual_of_residual,1,4,0.9745214427257555
signed_nfw_residual_of_residual,1,5,0.9421279193383195
signed_nfw_residual_of_residual,1,6,0.632900362290659
signed_nfw_residual_of_residual,2,1,0.9967343257076936
signed_nfw_residual_of_residual,2,2,0.9936640247455449
signed_nfw_residual_of_residual,2,3,0.9967625553507249
signed_nfw_residual_of_residual,2,4,0.985068593114608
signed_nfw_residual_of_residual,2,5,0.9078422691747525
signed_nfw_residual_of_residual,2,6,0.26214254168702267
signed_nfw_residual_of_residual,3,1,0.9996436959018575
signed_nfw_residual_of_residual,3,2,0.9937376659020071
signed_nfw_residual_of_residual,3,3,0.9857589713405684
